movie_id,title,ranking,release_year,length,rating,vote_count,certificate,description
tt0095327,Grave of the Fireflies,38,1988,1:28:00,8.5,330939,Not Rated,A young boy and his little sister struggle to survive in Japan during World War II.
tt9362722,Spider-Man: Across the Spider-Verse,39,2023,2:20:00,8.6,420184,PG,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
tt2582802,Whiplash,40,2014,1:46:00,8.5,1034753,R,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
tt0120586,American History X,41,1998,1:59:00,8.5,1211711,R,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
tt0110413,Léon: The Professional,42,1994,1:50:00,8.5,1278008,R,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
tt0482571,The Prestige,43,2006,2:10:00,8.5,1480637,PG-13,Rival 19th-century magicians engage in a bitter battle for trade secrets.
tt0056058,Harakiri,44,1962,2:13:00,8.6,74718,Not Rated,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
tt0034583,Casablanca,45,1942,1:42:00,8.5,620072,PG,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
tt0114814,The Usual Suspects,46,1995,1:46:00,8.5,1169002,R,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
tt1675434,The Intouchables,47,2011,1:52:00,8.5,955358,R,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
tt0095765,Cinema Paradiso,48,1988,2:54:00,8.5,292429,PG,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema."
tt15239678,Dune: Part Two,49,2024,2:46:00,8.5,553954,PG-13,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
tt0027977,Modern Times,50,1936,1:27:00,8.5,266804,G,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
tt0078748,Alien,51,1979,1:57:00,8.5,993328,R,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
tt0047396,Rear Window,52,1954,1:52:00,8.5,535951,PG,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.
tt0064116,Once Upon a Time in the West,53,1968,2:46:00,8.5,358445,PG-13,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
tt1853728,Django Unchained,54,2012,2:45:00,8.5,1746166,R,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
tt0021749,City Lights,55,1931,1:27:00,8.5,202001,G,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
tt0078788,Apocalypse Now,56,1979,2:27:00,8.4,727640,R,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
tt0209144,Memento,57,2000,1:53:00,8.4,1352861,R,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers."
tt0910970,WALL·E,58,2008,1:38:00,8.4,1233936,G,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind."
tt0082971,Indiana Jones and the Raiders of the Lost Ark,59,1981,1:55:00,8.4,1056671,PG,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers."
tt0405094,The Lives of Others,60,2006,2:17:00,8.4,419864,R,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives."
tt23849204,12th Fail,61,2023,2:27:00,8.8,135749,No rating,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
tt4154756,Avengers: Infinity War,63,2018,2:29:00,8.4,1248869,PG-13,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
